"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, -1.65931574393E+001, +0.00000000000E+000
+5.09993750000E+006, -1.27695905531E+002, +0.00000000000E+000
+1.00998750000E+007, +1.22438411628E+002, +0.00000000000E+000
+1.50998125000E+007, +1.50186696614E+001, +0.00000000000E+000
+2.00997500000E+007, -9.26763846808E+001, +0.00000000000E+000
+2.50996875000E+007, +1.57186726909E+002, +0.00000000000E+000
+3.00996250000E+007, +4.80811799050E+001, +0.00000000000E+000
+3.50995625000E+007, -5.96029060604E+001, +0.00000000000E+000
+4.00995000000E+007, -1.67844709757E+002, +0.00000000000E+000
+4.50994375000E+007, +8.37856158232E+001, +0.00000000000E+000
+5.00993750000E+007, -2.44042542784E+001, +0.00000000000E+000
+5.50993125000E+007, -1.33324169852E+002, +0.00000000000E+000
+6.00992500000E+007, +1.17627400931E+002, +0.00000000000E+000
+6.50991875000E+007, +1.03039796615E+001, +0.00000000000E+000
+7.00991250000E+007, -9.64444924996E+001, +0.00000000000E+000
+7.50990625000E+007, +1.53748191596E+002, +0.00000000000E+000
+8.00990000000E+007, +4.43604716931E+001, +0.00000000000E+000
+8.50989375000E+007, -6.28487018733E+001, +0.00000000000E+000
+9.00988750000E+007, -1.70191087125E+002, +0.00000000000E+000
+9.50988125000E+007, +8.12976250002E+001, +0.00000000000E+000
+1.00098750000E+008, -2.66594335937E+001, +0.00000000000E+000
+1.05098687500E+008, -1.35220556840E+002, +0.00000000000E+000
+1.10098625000E+008, +1.16327460872E+002, +0.00000000000E+000
+1.15098562500E+008, +8.83796784421E+000, +0.00000000000E+000
+1.20098500000E+008, -9.74519442819E+001, +0.00000000000E+000
+1.25098437500E+008, +1.53287468348E+002, +0.00000000000E+000
+1.30098375000E+008, +4.29570701678E+001, +0.00000000000E+000
+1.35098312500E+008, -6.27084241339E+001, +0.00000000000E+000
+1.40098250000E+008, -1.71481275274E+002, +0.00000000000E+000
+1.45098187500E+008, +8.06297571200E+001, +0.00000000000E+000
+1.50098125000E+008, -2.70116193926E+001, +0.00000000000E+000
+1.55098062500E+008, -1.35202742859E+002, +0.00000000000E+000
+1.60098000000E+008, +1.15822306469E+002, +0.00000000000E+000
+1.65097937500E+008, +7.19945765942E+000, +0.00000000000E+000
+1.70097875000E+008, -9.91037021028E+001, +0.00000000000E+000
+1.75097812500E+008, +1.53267872730E+002, +0.00000000000E+000
+1.80097750000E+008, +4.38776410000E+001, +0.00000000000E+000
+1.85097687500E+008, -6.44160064932E+001, +0.00000000000E+000
+1.90097625000E+008, -1.73387988876E+002, +0.00000000000E+000
+1.95097562500E+008, +7.95609041962E+001, +0.00000000000E+000
+2.00097500000E+008, -2.75128623055E+001, +0.00000000000E+000
+2.05097437500E+008, -1.36723030738E+002, +0.00000000000E+000
+2.10097375000E+008, +1.13737300290E+002, +0.00000000000E+000
+2.15097312500E+008, +5.58787052071E+000, +0.00000000000E+000
+2.20097250000E+008, -9.97009707409E+001, +0.00000000000E+000
+2.25097187500E+008, +1.52061952772E+002, +0.00000000000E+000
+2.30097125000E+008, +4.23897547070E+001, +0.00000000000E+000
+2.35097062500E+008, -6.57588538569E+001, +0.00000000000E+000
+2.40097000000E+008, -1.72954629063E+002, +0.00000000000E+000
+2.45096937500E+008, +7.81473275251E+001, +0.00000000000E+000
+2.50096875000E+008, -2.76269683191E+001, +0.00000000000E+000
+2.55096812500E+008, -1.36136393738E+002, +0.00000000000E+000
+2.60096750000E+008, +1.14481521699E+002, +0.00000000000E+000
+2.65096687500E+008, +6.38055727870E+000, +0.00000000000E+000
+2.70096625000E+008, -1.00242298140E+002, +0.00000000000E+000
+2.75096562500E+008, +1.52139007933E+002, +0.00000000000E+000
+2.80096500000E+008, +4.39514225398E+001, +0.00000000000E+000
+2.85096437500E+008, -6.31980440224E+001, +0.00000000000E+000
+2.90096375000E+008, -1.72404036756E+002, +0.00000000000E+000
+2.95096312500E+008, +7.87089622671E+001, +0.00000000000E+000
+3.00096250000E+008, -2.69566604963E+001, +0.00000000000E+000
+3.05096187500E+008, -1.33376649474E+002, +0.00000000000E+000
+3.10096125000E+008, +1.16672071955E+002, +0.00000000000E+000
+3.15096062500E+008, +5.97105069543E+000, +0.00000000000E+000
+3.20096000000E+008, -1.00611261774E+002, +0.00000000000E+000
+3.25095937500E+008, +1.52732354255E+002, +0.00000000000E+000
+3.30095875000E+008, +4.45231632329E+001, +0.00000000000E+000
+3.35095812500E+008, -6.37604007444E+001, +0.00000000000E+000
+3.40095750000E+008, -1.72963267799E+002, +0.00000000000E+000
+3.45095687500E+008, +7.66715836796E+001, +0.00000000000E+000
+3.50095625000E+008, -2.90904663157E+001, +0.00000000000E+000
+3.55095562500E+008, -1.35082532190E+002, +0.00000000000E+000
+3.60095500000E+008, +1.15756223518E+002, +0.00000000000E+000
+3.65095437500E+008, +4.90690901718E+000, +0.00000000000E+000
+3.70095375000E+008, -1.02380212636E+002, +0.00000000000E+000
+3.75095312500E+008, +1.49952086602E+002, +0.00000000000E+000
+3.80095250000E+008, +4.27191175390E+001, +0.00000000000E+000
+3.85095187500E+008, -6.45722207135E+001, +0.00000000000E+000
+3.90095125000E+008, -1.72215426639E+002, +0.00000000000E+000
+3.95095062500E+008, +7.63853726644E+001, +0.00000000000E+000
+4.00095000000E+008, -3.08710026159E+001, +0.00000000000E+000
+4.05094937500E+008, -1.34301981495E+002, +0.00000000000E+000
+4.10094875000E+008, +1.16783796480E+002, +0.00000000000E+000
+4.15094812500E+008, +6.83999422128E+000, +0.00000000000E+000
+4.20094750000E+008, -1.01372012975E+002, +0.00000000000E+000
+4.25094687500E+008, +1.53180618900E+002, +0.00000000000E+000
+4.30094625000E+008, +4.50423842962E+001, +0.00000000000E+000
+4.35094562500E+008, -6.20815955731E+001, +0.00000000000E+000
+4.40094500000E+008, -1.68920848525E+002, +0.00000000000E+000
+4.45094437500E+008, +7.89698738680E+001, +0.00000000000E+000
+4.50094375000E+008, -2.88320199721E+001, +0.00000000000E+000
+4.55094312500E+008, -1.33515705929E+002, +0.00000000000E+000
+4.60094250000E+008, +1.19838175294E+002, +0.00000000000E+000
+4.65094187500E+008, +9.91116947596E+000, +0.00000000000E+000
+4.70094125000E+008, -9.76443128026E+001, +0.00000000000E+000
+4.75094062500E+008, +1.52064239814E+002, +0.00000000000E+000
+4.80094000000E+008, +4.30471810208E+001, +0.00000000000E+000
+4.85093937500E+008, -6.16055358688E+001, +0.00000000000E+000
