"# Channel 1"
"# Trace 2 amplitude OUTPUT#4"
Frequency, Formatted Data, Formatted Data
+1.78134406250E+008, +2.52116199876E+000, +0.00000000000E+000
+1.80009400000E+008, +2.51423515019E+000, +0.00000000000E+000
+1.81884393750E+008, +2.51370908122E+000, +0.00000000000E+000
+1.83759387500E+008, +2.50423341251E+000, +0.00000000000E+000
+1.85634381250E+008, +2.50456586420E+000, +0.00000000000E+000
+1.87509375000E+008, +2.50164392115E+000, +0.00000000000E+000
+1.89384368750E+008, +2.50058291227E+000, +0.00000000000E+000
+1.91259362500E+008, +2.49333980872E+000, +0.00000000000E+000
+1.93134356250E+008, +2.49727167505E+000, +0.00000000000E+000
+1.95009350000E+008, +2.49097864681E+000, +0.00000000000E+000
+1.96884343750E+008, +2.49056733982E+000, +0.00000000000E+000
+1.98759337500E+008, +2.48415177698E+000, +0.00000000000E+000
+2.00634331250E+008, +2.47919350713E+000, +0.00000000000E+000
+2.02509325000E+008, +2.46912178910E+000, +0.00000000000E+000
+2.04384318750E+008, +2.46640920617E+000, +0.00000000000E+000
+2.06259312500E+008, +2.45934369717E+000, +0.00000000000E+000
+2.08134306250E+008, +2.44610795454E+000, +0.00000000000E+000
+2.10009300000E+008, +2.44101329940E+000, +0.00000000000E+000
+2.11884293750E+008, +2.43781777635E+000, +0.00000000000E+000
+2.13759287500E+008, +2.43088887018E+000, +0.00000000000E+000
+2.15634281250E+008, +2.42635262192E+000, +0.00000000000E+000
+2.17509275000E+008, +2.42126888064E+000, +0.00000000000E+000
+2.19384268750E+008, +2.42040785846E+000, +0.00000000000E+000
+2.21259262500E+008, +2.41920705154E+000, +0.00000000000E+000
+2.23134256250E+008, +2.41445654776E+000, +0.00000000000E+000
+2.25009250000E+008, +2.41337599412E+000, +0.00000000000E+000
+2.26884243750E+008, +2.41140275027E+000, +0.00000000000E+000
+2.28759237500E+008, +2.40350650357E+000, +0.00000000000E+000
+2.30634231250E+008, +2.39825406425E+000, +0.00000000000E+000
+2.32509225000E+008, +2.39168319622E+000, +0.00000000000E+000
+2.34384218750E+008, +2.38402652736E+000, +0.00000000000E+000
+2.36259212500E+008, +2.37480721473E+000, +0.00000000000E+000
+2.38134206250E+008, +2.36914149861E+000, +0.00000000000E+000
+2.40009200000E+008, +2.35927867500E+000, +0.00000000000E+000
+2.41884193750E+008, +2.34683075820E+000, +0.00000000000E+000
+2.43759187500E+008, +2.33995286694E+000, +0.00000000000E+000
+2.45634181250E+008, +2.33133311423E+000, +0.00000000000E+000
+2.47509175000E+008, +2.32796788347E+000, +0.00000000000E+000
+2.49384168750E+008, +2.32288631793E+000, +0.00000000000E+000
+2.51259162500E+008, +2.30937002839E+000, +0.00000000000E+000
+2.53134156250E+008, +2.30529695748E+000, +0.00000000000E+000
+2.55009150000E+008, +2.30306711290E+000, +0.00000000000E+000
+2.56884143750E+008, +2.29696206023E+000, +0.00000000000E+000
+2.58759137500E+008, +2.29499520205E+000, +0.00000000000E+000
+2.60634131250E+008, +2.28709995943E+000, +0.00000000000E+000
+2.62509125000E+008, +2.27767901879E+000, +0.00000000000E+000
+2.64384118750E+008, +2.27585374002E+000, +0.00000000000E+000
+2.66259112500E+008, +2.26624287035E+000, +0.00000000000E+000
+2.68134106250E+008, +2.25292385946E+000, +0.00000000000E+000
+2.70009100000E+008, +2.24891831364E+000, +0.00000000000E+000
+2.71884093750E+008, +2.23995417653E+000, +0.00000000000E+000
+2.73759087500E+008, +2.22206658653E+000, +0.00000000000E+000
+2.75634081250E+008, +2.20839872609E+000, +0.00000000000E+000
+2.77509075000E+008, +2.20437796301E+000, +0.00000000000E+000
+2.79384068750E+008, +2.19138642688E+000, +0.00000000000E+000
+2.81259062500E+008, +2.18303730605E+000, +0.00000000000E+000
+2.83134056250E+008, +2.17585894924E+000, +0.00000000000E+000
+2.85009050000E+008, +2.16137361660E+000, +0.00000000000E+000
+2.86884043750E+008, +2.15557335005E+000, +0.00000000000E+000
+2.88759037500E+008, +2.14868355447E+000, +0.00000000000E+000
+2.90634031250E+008, +2.14749353314E+000, +0.00000000000E+000
+2.92509025000E+008, +2.14121714351E+000, +0.00000000000E+000
+2.94384018750E+008, +2.13588678642E+000, +0.00000000000E+000
+2.96259012500E+008, +2.13125750395E+000, +0.00000000000E+000
+2.98134006250E+008, +2.12886530581E+000, +0.00000000000E+000
+3.00009000000E+008, +2.12300915334E+000, +0.00000000000E+000
+3.01883993750E+008, +2.11777226866E+000, +0.00000000000E+000
+3.03758987500E+008, +2.11230061200E+000, +0.00000000000E+000
+3.05633981250E+008, +2.10805307305E+000, +0.00000000000E+000
+3.07508975000E+008, +2.10165106428E+000, +0.00000000000E+000
+3.09383968750E+008, +2.09765199086E+000, +0.00000000000E+000
+3.11258962500E+008, +2.09249406028E+000, +0.00000000000E+000
+3.13133956250E+008, +2.09124405515E+000, +0.00000000000E+000
+3.15008950000E+008, +2.08908907854E+000, +0.00000000000E+000
+3.16883943750E+008, +2.08798301119E+000, +0.00000000000E+000
+3.18758937500E+008, +2.08658037649E+000, +0.00000000000E+000
+3.20633931250E+008, +2.08973728479E+000, +0.00000000000E+000
+3.22508925000E+008, +2.09063563953E+000, +0.00000000000E+000
+3.24383918750E+008, +2.09165068132E+000, +0.00000000000E+000
+3.26258912500E+008, +2.09631542602E+000, +0.00000000000E+000
+3.28133906250E+008, +2.09765619830E+000, +0.00000000000E+000
+3.30008900000E+008, +2.10683354978E+000, +0.00000000000E+000
+3.31883893750E+008, +2.11077852604E+000, +0.00000000000E+000
+3.33758887500E+008, +2.11160706128E+000, +0.00000000000E+000
+3.35633881250E+008, +2.11313141417E+000, +0.00000000000E+000
+3.37508875000E+008, +2.11935308100E+000, +0.00000000000E+000
+3.39383868750E+008, +2.12559493645E+000, +0.00000000000E+000
+3.41258862500E+008, +2.12728217152E+000, +0.00000000000E+000
+3.43133856250E+008, +2.12734998914E+000, +0.00000000000E+000
+3.45008850000E+008, +2.13245129979E+000, +0.00000000000E+000
+3.46883843750E+008, +2.13912656507E+000, +0.00000000000E+000
+3.48758837500E+008, +2.14459541315E+000, +0.00000000000E+000
+3.50633831250E+008, +2.14720972266E+000, +0.00000000000E+000
+3.52508825000E+008, +2.15382954753E+000, +0.00000000000E+000
+3.54383818750E+008, +2.16271290879E+000, +0.00000000000E+000
+3.56258812500E+008, +2.16591918947E+000, +0.00000000000E+000
+3.58133806250E+008, +2.17413239883E+000, +0.00000000000E+000
+3.60008800000E+008, +2.18072173075E+000, +0.00000000000E+000
+3.61883793750E+008, +2.18420632180E+000, +0.00000000000E+000
+3.63758787500E+008, +2.19778828951E+000, +0.00000000000E+000
+3.65633781250E+008, +2.20049576309E+000, +0.00000000000E+000
+3.67508775000E+008, +2.20700279410E+000, +0.00000000000E+000
+3.69383768750E+008, +2.21302225035E+000, +0.00000000000E+000
+3.71258762500E+008, +2.22215602890E+000, +0.00000000000E+000
+3.73133756250E+008, +2.22723549755E+000, +0.00000000000E+000
+3.75008750000E+008, +2.23475021873E+000, +0.00000000000E+000
+3.76883743750E+008, +2.23645064801E+000, +0.00000000000E+000
+3.78758737500E+008, +2.23885941157E+000, +0.00000000000E+000
+3.80633731250E+008, +2.24753248510E+000, +0.00000000000E+000
+3.82508725000E+008, +2.24653296778E+000, +0.00000000000E+000
+3.84383718750E+008, +2.25509326303E+000, +0.00000000000E+000
+3.86258712500E+008, +2.25420074385E+000, +0.00000000000E+000
+3.88133706250E+008, +2.25346454058E+000, +0.00000000000E+000
+3.90008700000E+008, +2.25661641488E+000, +0.00000000000E+000
+3.91883693750E+008, +2.26113564528E+000, +0.00000000000E+000
+3.93758687500E+008, +2.25644697046E+000, +0.00000000000E+000
+3.95633681250E+008, +2.26168501034E+000, +0.00000000000E+000
+3.97508675000E+008, +2.26552920146E+000, +0.00000000000E+000
+3.99383668750E+008, +2.26729265958E+000, +0.00000000000E+000
+4.01258662500E+008, +2.26664526167E+000, +0.00000000000E+000
+4.03133656250E+008, +2.27473212568E+000, +0.00000000000E+000
+4.05008650000E+008, +2.27706182503E+000, +0.00000000000E+000
+4.06883643750E+008, +2.28285547952E+000, +0.00000000000E+000
+4.08758637500E+008, +2.28408704130E+000, +0.00000000000E+000
+4.10633631250E+008, +2.28644603424E+000, +0.00000000000E+000
+4.12508625000E+008, +2.28517889489E+000, +0.00000000000E+000
+4.14383618750E+008, +2.28499586770E+000, +0.00000000000E+000
+4.16258612500E+008, +2.28611407903E+000, +0.00000000000E+000
+4.18133606250E+008, +2.28300677823E+000, +0.00000000000E+000
+4.20008600000E+008, +2.27865616556E+000, +0.00000000000E+000
+4.21883593750E+008, +2.27287376446E+000, +0.00000000000E+000
+4.23758587500E+008, +2.27098761429E+000, +0.00000000000E+000
+4.25633581250E+008, +2.26523417154E+000, +0.00000000000E+000
+4.27508575000E+008, +2.25887499011E+000, +0.00000000000E+000
+4.29383568750E+008, +2.25652861592E+000, +0.00000000000E+000
+4.31258562500E+008, +2.25941777234E+000, +0.00000000000E+000
+4.33133556250E+008, +2.25858616877E+000, +0.00000000000E+000
+4.35008550000E+008, +2.25798236422E+000, +0.00000000000E+000
+4.36883543750E+008, +2.25909958318E+000, +0.00000000000E+000
+4.38758537500E+008, +2.25811987628E+000, +0.00000000000E+000
+4.40633531250E+008, +2.26093795512E+000, +0.00000000000E+000
+4.42508525000E+008, +2.25965553822E+000, +0.00000000000E+000
+4.44383518750E+008, +2.25639903579E+000, +0.00000000000E+000
+4.46258512500E+008, +2.25384487118E+000, +0.00000000000E+000
+4.48133506250E+008, +2.24976068518E+000, +0.00000000000E+000
+4.50008500000E+008, +2.24555687175E+000, +0.00000000000E+000
+4.51883493750E+008, +2.24247705825E+000, +0.00000000000E+000
+4.53758487500E+008, +2.23353438756E+000, +0.00000000000E+000
+4.55633481250E+008, +2.22778778190E+000, +0.00000000000E+000
+4.57508475000E+008, +2.22472895098E+000, +0.00000000000E+000
+4.59383468750E+008, +2.22174989793E+000, +0.00000000000E+000
+4.61258462500E+008, +2.21707610243E+000, +0.00000000000E+000
+4.63133456250E+008, +2.21446216354E+000, +0.00000000000E+000
+4.65008450000E+008, +2.21306714321E+000, +0.00000000000E+000
+4.66883443750E+008, +2.21307552422E+000, +0.00000000000E+000
+4.68758437500E+008, +2.20826887768E+000, +0.00000000000E+000
+4.70633431250E+008, +2.21251162409E+000, +0.00000000000E+000
+4.72508425000E+008, +2.20963094067E+000, +0.00000000000E+000
+4.74383418750E+008, +2.20907224732E+000, +0.00000000000E+000
+4.76258412500E+008, +2.20975034930E+000, +0.00000000000E+000
+4.78133406250E+008, +2.20903820235E+000, +0.00000000000E+000
+4.80008400000E+008, +2.20621135177E+000, +0.00000000000E+000
+4.81883393750E+008, +2.20103570983E+000, +0.00000000000E+000
+4.83758387500E+008, +2.20031151736E+000, +0.00000000000E+000
+4.85633381250E+008, +2.19933635608E+000, +0.00000000000E+000
+4.87508375000E+008, +2.19236348081E+000, +0.00000000000E+000
+4.89383368750E+008, +2.18927367960E+000, +0.00000000000E+000
+4.91258362500E+008, +2.18471138516E+000, +0.00000000000E+000
+4.93133356250E+008, +2.17975990505E+000, +0.00000000000E+000
+4.95008350000E+008, +2.17499280498E+000, +0.00000000000E+000
+4.96883343750E+008, +2.16986422820E+000, +0.00000000000E+000
+4.98758337500E+008, +2.16371192912E+000, +0.00000000000E+000
+5.00633331250E+008, +2.16078126704E+000, +0.00000000000E+000
+5.02508325000E+008, +2.15980398392E+000, +0.00000000000E+000
+5.04383318750E+008, +2.15172967663E+000, +0.00000000000E+000
+5.06258312500E+008, +2.14787403547E+000, +0.00000000000E+000
+5.08133306250E+008, +2.14480503136E+000, +0.00000000000E+000
+5.10008300000E+008, +2.14413306456E+000, +0.00000000000E+000
+5.11883293750E+008, +2.14243910657E+000, +0.00000000000E+000
+5.13758287500E+008, +2.14083177812E+000, +0.00000000000E+000
+5.15633281250E+008, +2.13460965372E+000, +0.00000000000E+000
+5.17508275000E+008, +2.12963999192E+000, +0.00000000000E+000
+5.19383268750E+008, +2.12516472657E+000, +0.00000000000E+000
+5.21258262500E+008, +2.11543241434E+000, +0.00000000000E+000
+5.23133256250E+008, +2.11356686164E+000, +0.00000000000E+000
+5.25008250000E+008, +2.10670416286E+000, +0.00000000000E+000
+5.26883243750E+008, +2.09425292674E+000, +0.00000000000E+000
+5.28758237500E+008, +2.08788729850E+000, +0.00000000000E+000
+5.30633231250E+008, +2.08126395522E+000, +0.00000000000E+000
+5.32508225000E+008, +2.07275645078E+000, +0.00000000000E+000
+5.34383218750E+008, +2.06744053378E+000, +0.00000000000E+000
+5.36258212500E+008, +2.06549246231E+000, +0.00000000000E+000
+5.38133206250E+008, +2.05729353810E+000, +0.00000000000E+000
+5.40008200000E+008, +2.05350576874E+000, +0.00000000000E+000
+5.41883193750E+008, +2.05110178606E+000, +0.00000000000E+000
+5.43758187500E+008, +2.04730385789E+000, +0.00000000000E+000
+5.45633181250E+008, +2.04489346591E+000, +0.00000000000E+000
+5.47508175000E+008, +2.04339467029E+000, +0.00000000000E+000
+5.49383168750E+008, +2.03888871974E+000, +0.00000000000E+000
+5.51258162500E+008, +2.03781858169E+000, +0.00000000000E+000
+5.53133156250E+008, +2.03258475198E+000, +0.00000000000E+000
+5.55008150000E+008, +2.02227021521E+000, +0.00000000000E+000
+5.56883143750E+008, +2.01733236787E+000, +0.00000000000E+000
+5.58758137500E+008, +2.01120003292E+000, +0.00000000000E+000
+5.60633131250E+008, +2.00285635736E+000, +0.00000000000E+000
+5.62508125000E+008, +1.99297697450E+000, +0.00000000000E+000
+5.64383118750E+008, +1.98353668321E+000, +0.00000000000E+000
+5.66258112500E+008, +1.97887254958E+000, +0.00000000000E+000
+5.68133106250E+008, +1.97369856830E+000, +0.00000000000E+000
+5.70008100000E+008, +1.96715864961E+000, +0.00000000000E+000
+5.71883093750E+008, +1.96092074043E+000, +0.00000000000E+000
+5.73758087500E+008, +1.95732231805E+000, +0.00000000000E+000
+5.75633081250E+008, +1.95529301539E+000, +0.00000000000E+000
+5.77508075000E+008, +1.95382302481E+000, +0.00000000000E+000
+5.79383068750E+008, +1.94843617146E+000, +0.00000000000E+000
+5.81258062500E+008, +1.94453059652E+000, +0.00000000000E+000
