"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+4.75094062500E+008, -4.96827931939E+000, +0.00000000000E+000
+4.80094000000E+008, -5.18552225517E+000, +0.00000000000E+000
+4.85093937500E+008, -5.15347283749E+000, +0.00000000000E+000
+4.90093875000E+008, -4.89021650941E+000, +0.00000000000E+000
+4.95093812500E+008, -4.99230045056E+000, +0.00000000000E+000
+5.00093750000E+008, -5.05211631747E+000, +0.00000000000E+000
+5.05093687500E+008, -5.18400603832E+000, +0.00000000000E+000
+5.10093625000E+008, -5.25792766010E+000, +0.00000000000E+000
+5.15093562500E+008, -5.18562652842E+000, +0.00000000000E+000
+5.20093500000E+008, -4.96673032879E+000, +0.00000000000E+000
+5.25093437500E+008, -5.16405340668E+000, +0.00000000000E+000
+5.30093375000E+008, -5.48300841136E+000, +0.00000000000E+000
+5.35093312500E+008, -5.47142187022E+000, +0.00000000000E+000
+5.40093250000E+008, -5.21441140364E+000, +0.00000000000E+000
+5.45093187500E+008, -5.21207914014E+000, +0.00000000000E+000
+5.50093125000E+008, -5.27574762829E+000, +0.00000000000E+000
+5.55093062500E+008, -5.32787924194E+000, +0.00000000000E+000
+5.60093000000E+008, -5.57824940829E+000, +0.00000000000E+000
+5.65092937500E+008, -5.57873792473E+000, +0.00000000000E+000
+5.70092875000E+008, -5.31661334914E+000, +0.00000000000E+000
+5.75092812500E+008, -5.27405317640E+000, +0.00000000000E+000
+5.80092750000E+008, -5.63800678567E+000, +0.00000000000E+000
+5.85092687500E+008, -5.75472300715E+000, +0.00000000000E+000
+5.90092625000E+008, -5.62394568645E+000, +0.00000000000E+000
+5.95092562500E+008, -5.62026571752E+000, +0.00000000000E+000
+6.00092500000E+008, -5.50843910766E+000, +0.00000000000E+000
+6.05092437500E+008, -5.51000077512E+000, +0.00000000000E+000
+6.10092375000E+008, -5.89210050965E+000, +0.00000000000E+000
+6.15092312500E+008, -6.11300599768E+000, +0.00000000000E+000
+6.20092250000E+008, -5.62686037124E+000, +0.00000000000E+000
+6.25092187500E+008, -5.44290465776E+000, +0.00000000000E+000
+6.30092125000E+008, -5.72942017649E+000, +0.00000000000E+000
+6.35092062500E+008, -6.08101678746E+000, +0.00000000000E+000
+6.40092000000E+008, -6.00692946466E+000, +0.00000000000E+000
+6.45091937500E+008, -5.91203447358E+000, +0.00000000000E+000
+6.50091875000E+008, -5.80544357478E+000, +0.00000000000E+000
+6.55091812500E+008, -5.68451525478E+000, +0.00000000000E+000
+6.60091750000E+008, -5.97897965281E+000, +0.00000000000E+000
+6.65091687500E+008, -6.25648791585E+000, +0.00000000000E+000
