"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, -3.55288899333E-003, +0.00000000000E+000
+5.09993750000E+006, -4.56337826645E-001, +0.00000000000E+000
+1.00998750000E+007, -7.29580292028E-001, +0.00000000000E+000
+1.50998125000E+007, -7.69945999610E-001, +0.00000000000E+000
+2.00997500000E+007, -8.53621827498E-001, +0.00000000000E+000
+2.50996875000E+007, -1.07984160734E+000, +0.00000000000E+000
+3.00996250000E+007, -1.18627035138E+000, +0.00000000000E+000
+3.50995625000E+007, -1.21569004789E+000, +0.00000000000E+000
+4.00995000000E+007, -1.33211171977E+000, +0.00000000000E+000
+4.50994375000E+007, -1.42221497785E+000, +0.00000000000E+000
+5.00993750000E+007, -1.48139195486E+000, +0.00000000000E+000
+5.50993125000E+007, -1.61729012845E+000, +0.00000000000E+000
+6.00992500000E+007, -1.70186996353E+000, +0.00000000000E+000
+6.50991875000E+007, -1.70636564156E+000, +0.00000000000E+000
+7.00991250000E+007, -1.78312590685E+000, +0.00000000000E+000
+7.50990625000E+007, -1.92661297226E+000, +0.00000000000E+000
+8.00990000000E+007, -1.94809551462E+000, +0.00000000000E+000
+8.50989375000E+007, -1.99870331166E+000, +0.00000000000E+000
+9.00988750000E+007, -2.10201577677E+000, +0.00000000000E+000
+9.50988125000E+007, -2.13177884288E+000, +0.00000000000E+000
+1.00098750000E+008, -2.16813603428E+000, +0.00000000000E+000
+1.05098687500E+008, -2.29927462831E+000, +0.00000000000E+000
+1.10098625000E+008, -2.29710373187E+000, +0.00000000000E+000
+1.15098562500E+008, -2.30177273003E+000, +0.00000000000E+000
+1.20098500000E+008, -2.41499904935E+000, +0.00000000000E+000
+1.25098437500E+008, -2.48625750888E+000, +0.00000000000E+000
+1.30098375000E+008, -2.48137719842E+000, +0.00000000000E+000
+1.35098312500E+008, -2.52678741190E+000, +0.00000000000E+000
+1.40098250000E+008, -2.63427132359E+000, +0.00000000000E+000
+1.45098187500E+008, -2.60983738362E+000, +0.00000000000E+000
+1.50098125000E+008, -2.63839864646E+000, +0.00000000000E+000
+1.55098062500E+008, -2.79319932627E+000, +0.00000000000E+000
+1.60098000000E+008, -2.79470599344E+000, +0.00000000000E+000
+1.65097937500E+008, -2.73540599484E+000, +0.00000000000E+000
+1.70097875000E+008, -2.85710047460E+000, +0.00000000000E+000
+1.75097812500E+008, -2.93792742987E+000, +0.00000000000E+000
+1.80097750000E+008, -2.93012148308E+000, +0.00000000000E+000
+1.85097687500E+008, -2.99387711423E+000, +0.00000000000E+000
+1.90097625000E+008, -3.06301910433E+000, +0.00000000000E+000
+1.95097562500E+008, -3.01101796433E+000, +0.00000000000E+000
+2.00097500000E+008, -3.07838026128E+000, +0.00000000000E+000
+2.05097437500E+008, -3.28356330112E+000, +0.00000000000E+000
+2.10097375000E+008, -3.20804880140E+000, +0.00000000000E+000
+2.15097312500E+008, -3.13291655399E+000, +0.00000000000E+000
+2.20097250000E+008, -3.30072732959E+000, +0.00000000000E+000
+2.25097187500E+008, -3.41802612599E+000, +0.00000000000E+000
+2.30097125000E+008, -3.36283515746E+000, +0.00000000000E+000
+2.35097062500E+008, -3.43113658775E+000, +0.00000000000E+000
+2.40097000000E+008, -3.47606675409E+000, +0.00000000000E+000
+2.45096937500E+008, -3.45787714840E+000, +0.00000000000E+000
+2.50096875000E+008, -3.49636096786E+000, +0.00000000000E+000
+2.55096812500E+008, -3.65840847833E+000, +0.00000000000E+000
+2.60096750000E+008, -3.64926152053E+000, +0.00000000000E+000
+2.65096687500E+008, -3.55050605388E+000, +0.00000000000E+000
+2.70096625000E+008, -3.69393939034E+000, +0.00000000000E+000
+2.75096562500E+008, -3.72104852384E+000, +0.00000000000E+000
+2.80096500000E+008, -3.65525573077E+000, +0.00000000000E+000
+2.85096437500E+008, -3.81893239662E+000, +0.00000000000E+000
+2.90096375000E+008, -3.89141875353E+000, +0.00000000000E+000
+2.95096312500E+008, -3.72099564335E+000, +0.00000000000E+000
+3.00096250000E+008, -3.75334502227E+000, +0.00000000000E+000
+3.05096187500E+008, -3.99811602052E+000, +0.00000000000E+000
+3.10096125000E+008, -3.98591780025E+000, +0.00000000000E+000
+3.15096062500E+008, -3.86594707298E+000, +0.00000000000E+000
+3.20096000000E+008, -3.95856025574E+000, +0.00000000000E+000
+3.25095937500E+008, -4.02389326868E+000, +0.00000000000E+000
+3.30095875000E+008, -3.97436164703E+000, +0.00000000000E+000
+3.35095812500E+008, -4.16020880277E+000, +0.00000000000E+000
+3.40095750000E+008, -4.27433343494E+000, +0.00000000000E+000
+3.45095687500E+008, -4.06330999012E+000, +0.00000000000E+000
+3.50095625000E+008, -4.05652783794E+000, +0.00000000000E+000
+3.55095562500E+008, -4.32544119419E+000, +0.00000000000E+000
+3.60095500000E+008, -4.37891041272E+000, +0.00000000000E+000
+3.65095437500E+008, -4.27431067348E+000, +0.00000000000E+000
+3.70095375000E+008, -4.35286477935E+000, +0.00000000000E+000
+3.75095312500E+008, -4.40791442675E+000, +0.00000000000E+000
+3.80095250000E+008, -4.29205348434E+000, +0.00000000000E+000
+3.85095187500E+008, -4.48109514890E+000, +0.00000000000E+000
+3.90095125000E+008, -4.70485310267E+000, +0.00000000000E+000
+3.95095062500E+008, -4.51565026082E+000, +0.00000000000E+000
+4.00095000000E+008, -4.37538784411E+000, +0.00000000000E+000
+4.05094937500E+008, -4.57363025259E+000, +0.00000000000E+000
+4.10094875000E+008, -4.67146862916E+000, +0.00000000000E+000
+4.15094812500E+008, -4.64549328725E+000, +0.00000000000E+000
+4.20094750000E+008, -4.72299566376E+000, +0.00000000000E+000
+4.25094687500E+008, -4.60874936883E+000, +0.00000000000E+000
+4.30094625000E+008, -4.51146225143E+000, +0.00000000000E+000
+4.35094562500E+008, -4.72487136080E+000, +0.00000000000E+000
+4.40094500000E+008, -4.98169815268E+000, +0.00000000000E+000
+4.45094437500E+008, -4.80580681516E+000, +0.00000000000E+000
+4.50094375000E+008, -4.68772596284E+000, +0.00000000000E+000
+4.55094312500E+008, -4.75960080956E+000, +0.00000000000E+000
+4.60094250000E+008, -4.84532275358E+000, +0.00000000000E+000
+4.65094187500E+008, -4.93090427133E+000, +0.00000000000E+000
+4.70094125000E+008, -5.05325126240E+000, +0.00000000000E+000
+4.75094062500E+008, -4.95594847019E+000, +0.00000000000E+000
+4.80094000000E+008, -4.78984825941E+000, +0.00000000000E+000
+4.85093937500E+008, -4.86552092222E+000, +0.00000000000E+000
+4.90093875000E+008, -5.18552924995E+000, +0.00000000000E+000
+4.95093812500E+008, -5.15337820631E+000, +0.00000000000E+000
+5.00093750000E+008, -5.14285008216E+000, +0.00000000000E+000
+5.05093687500E+008, -5.06669059300E+000, +0.00000000000E+000
+5.10093625000E+008, -5.04095315574E+000, +0.00000000000E+000
+5.15093562500E+008, -5.14940948425E+000, +0.00000000000E+000
+5.20093500000E+008, -5.43455932221E+000, +0.00000000000E+000
+5.25093437500E+008, -5.27740263086E+000, +0.00000000000E+000
+5.30093375000E+008, -5.02661692826E+000, +0.00000000000E+000
+5.35093312500E+008, -5.10319196896E+000, +0.00000000000E+000
+5.40093250000E+008, -5.39587305685E+000, +0.00000000000E+000
+5.45093187500E+008, -5.47470865771E+000, +0.00000000000E+000
+5.50093125000E+008, -5.45144611460E+000, +0.00000000000E+000
+5.55093062500E+008, -5.44560802051E+000, +0.00000000000E+000
+5.60093000000E+008, -5.26009001786E+000, +0.00000000000E+000
+5.65092937500E+008, -5.28492211589E+000, +0.00000000000E+000
+5.70092875000E+008, -5.59014946629E+000, +0.00000000000E+000
+5.75092812500E+008, -5.73740038715E+000, +0.00000000000E+000
+5.80092750000E+008, -5.41461723791E+000, +0.00000000000E+000
+5.85092687500E+008, -5.35252252113E+000, +0.00000000000E+000
+5.90092625000E+008, -5.50483477371E+000, +0.00000000000E+000
+5.95092562500E+008, -5.54963889556E+000, +0.00000000000E+000
+6.00092500000E+008, -5.73871519083E+000, +0.00000000000E+000
+6.05092437500E+008, -5.79592568438E+000, +0.00000000000E+000
+6.10092375000E+008, -5.47246406865E+000, +0.00000000000E+000
+6.15092312500E+008, -5.26829277141E+000, +0.00000000000E+000
+6.20092250000E+008, -5.70271161562E+000, +0.00000000000E+000
+6.25092187500E+008, -6.06848099893E+000, +0.00000000000E+000
+6.30092125000E+008, -5.82301292688E+000, +0.00000000000E+000
+6.35092062500E+008, -5.54006903080E+000, +0.00000000000E+000
+6.40092000000E+008, -5.63080895911E+000, +0.00000000000E+000
