"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, +1.62740781610E+002, +0.00000000000E+000
+5.09993750000E+006, +5.25506027064E+001, +0.00000000000E+000
+1.00998750000E+007, -5.59113308201E+001, +0.00000000000E+000
+1.50998125000E+007, -1.66151027722E+002, +0.00000000000E+000
+2.00997500000E+007, +8.42186796330E+001, +0.00000000000E+000
+2.50996875000E+007, -2.27593070508E+001, +0.00000000000E+000
+3.00996250000E+007, -1.30659296165E+002, +0.00000000000E+000
+3.50995625000E+007, +1.20117356461E+002, +0.00000000000E+000
+4.00995000000E+007, +1.15692295494E+001, +0.00000000000E+000
+4.50994375000E+007, -9.67995760894E+001, +0.00000000000E+000
+5.00993750000E+007, +1.54699694599E+002, +0.00000000000E+000
+5.50993125000E+007, +4.70148651446E+001, +0.00000000000E+000
+6.00992500000E+007, -6.05077433899E+001, +0.00000000000E+000
+6.50991875000E+007, -1.69757451698E+002, +0.00000000000E+000
+7.00991250000E+007, +8.05421977578E+001, +0.00000000000E+000
+7.50990625000E+007, -2.61149218821E+001, +0.00000000000E+000
+8.00990000000E+007, -1.33148208710E+002, +0.00000000000E+000
+8.50989375000E+007, +1.17643253671E+002, +0.00000000000E+000
+9.00988750000E+007, +8.59104671135E+000, +0.00000000000E+000
+9.50988125000E+007, -9.92662123186E+001, +0.00000000000E+000
+1.00098750000E+008, +1.52328960503E+002, +0.00000000000E+000
+1.05098687500E+008, +4.45743592128E+001, +0.00000000000E+000
+1.10098625000E+008, -6.33211545882E+001, +0.00000000000E+000
+1.15098562500E+008, -1.72143795069E+002, +0.00000000000E+000
+1.20098500000E+008, +7.79382526445E+001, +0.00000000000E+000
+1.25098437500E+008, -2.90852128063E+001, +0.00000000000E+000
+1.30098375000E+008, -1.35003601617E+002, +0.00000000000E+000
+1.35098312500E+008, +1.14427421617E+002, +0.00000000000E+000
+1.40098250000E+008, +7.00327185887E+000, +0.00000000000E+000
+1.45098187500E+008, -1.01315275628E+002, +0.00000000000E+000
+1.50098125000E+008, +1.50052588164E+002, +0.00000000000E+000
+1.55098062500E+008, +4.21636768713E+001, +0.00000000000E+000
+1.60098000000E+008, -6.50372742533E+001, +0.00000000000E+000
+1.65097937500E+008, -1.72649478519E+002, +0.00000000000E+000
+1.70097875000E+008, +7.74897033301E+001, +0.00000000000E+000
+1.75097812500E+008, -3.09453685929E+001, +0.00000000000E+000
+1.80097750000E+008, -1.37699956315E+002, +0.00000000000E+000
+1.85097687500E+008, +1.14375881504E+002, +0.00000000000E+000
+1.90097625000E+008, +7.23074670391E+000, +0.00000000000E+000
+1.95097562500E+008, -1.01838978862E+002, +0.00000000000E+000
+2.00097500000E+008, +1.49049249358E+002, +0.00000000000E+000
+2.05097437500E+008, +4.21961426054E+001, +0.00000000000E+000
+2.10097375000E+008, -6.43605031506E+001, +0.00000000000E+000
+2.15097312500E+008, -1.72287631998E+002, +0.00000000000E+000
+2.20097250000E+008, +7.68485024698E+001, +0.00000000000E+000
+2.25097187500E+008, -3.09108404006E+001, +0.00000000000E+000
+2.30097125000E+008, -1.37349484142E+002, +0.00000000000E+000
+2.35097062500E+008, +1.14776913078E+002, +0.00000000000E+000
+2.40097000000E+008, +5.82273353599E+000, +0.00000000000E+000
+2.45096937500E+008, -1.01318499890E+002, +0.00000000000E+000
+2.50096875000E+008, +1.48337527580E+002, +0.00000000000E+000
+2.55096812500E+008, +4.08423906897E+001, +0.00000000000E+000
+2.60096750000E+008, -6.57860991677E+001, +0.00000000000E+000
+2.65096687500E+008, -1.73814446063E+002, +0.00000000000E+000
+2.70096625000E+008, +7.67675778280E+001, +0.00000000000E+000
+2.75096562500E+008, -3.15712276064E+001, +0.00000000000E+000
+2.80096500000E+008, -1.39507426143E+002, +0.00000000000E+000
+2.85096437500E+008, +1.11736262229E+002, +0.00000000000E+000
+2.90096375000E+008, +4.90707410425E+000, +0.00000000000E+000
+2.95096312500E+008, -1.02284596561E+002, +0.00000000000E+000
+3.00096250000E+008, +1.47176617101E+002, +0.00000000000E+000
+3.05096187500E+008, +3.78462363790E+001, +0.00000000000E+000
+3.10096125000E+008, -6.80586157632E+001, +0.00000000000E+000
+3.15096062500E+008, -1.73595625699E+002, +0.00000000000E+000
+3.20096000000E+008, +7.70349552865E+001, +0.00000000000E+000
+3.25095937500E+008, -3.22828483220E+001, +0.00000000000E+000
+3.30095875000E+008, -1.40041648836E+002, +0.00000000000E+000
+3.35095812500E+008, +1.12311935758E+002, +0.00000000000E+000
+3.40095750000E+008, +5.50877155621E+000, +0.00000000000E+000
+3.45095687500E+008, -1.00141074758E+002, +0.00000000000E+000
+3.50095625000E+008, +1.49535026166E+002, +0.00000000000E+000
+3.55095562500E+008, +3.96244925998E+001, +0.00000000000E+000
+3.60095500000E+008, -6.70354356989E+001, +0.00000000000E+000
+3.65095437500E+008, -1.72269962824E+002, +0.00000000000E+000
+3.70095375000E+008, +7.90523388974E+001, +0.00000000000E+000
+3.75095312500E+008, -2.92582370248E+001, +0.00000000000E+000
+3.80095250000E+008, -1.38042568650E+002, +0.00000000000E+000
+3.85095187500E+008, +1.13298024911E+002, +0.00000000000E+000
+3.90095125000E+008, +5.05337878273E+000, +0.00000000000E+000
+3.95095062500E+008, -9.96397012730E+001, +0.00000000000E+000
+4.00095000000E+008, +1.51720341591E+002, +0.00000000000E+000
+4.05094937500E+008, +3.90430112937E+001, +0.00000000000E+000
+4.10094875000E+008, -6.77529452708E+001, +0.00000000000E+000
+4.15094812500E+008, -1.73828386310E+002, +0.00000000000E+000
+4.20094750000E+008, +7.83765477381E+001, +0.00000000000E+000
+4.25094687500E+008, -3.22119740643E+001, +0.00000000000E+000
+4.30094625000E+008, -1.40091407123E+002, +0.00000000000E+000
+4.35094562500E+008, +1.11181810712E+002, +0.00000000000E+000
+4.40094500000E+008, +2.47801550086E+000, +0.00000000000E+000
+4.45094437500E+008, -1.01610807298E+002, +0.00000000000E+000
+4.50094375000E+008, +1.50170021077E+002, +0.00000000000E+000
+4.55094312500E+008, +3.87641563752E+001, +0.00000000000E+000
+4.60094250000E+008, -7.01501657309E+001, +0.00000000000E+000
+4.65094187500E+008, -1.76085952316E+002, +0.00000000000E+000
+4.70094125000E+008, +7.55005274764E+001, +0.00000000000E+000
+4.75094062500E+008, -3.00677140823E+001, +0.00000000000E+000
+4.80094000000E+008, -1.37113663962E+002, +0.00000000000E+000
+4.85093937500E+008, +1.11265101410E+002, +0.00000000000E+000
+4.90093875000E+008, +3.62928223385E+000, +0.00000000000E+000
+4.95093812500E+008, -1.01759558794E+002, +0.00000000000E+000
+5.00093750000E+008, +1.53018528846E+002, +0.00000000000E+000
+5.05093687500E+008, +4.18527375784E+001, +0.00000000000E+000
+5.10093625000E+008, -6.51876414408E+001, +0.00000000000E+000
+5.15093562500E+008, -1.75676051948E+002, +0.00000000000E+000
+5.20093500000E+008, +7.81864076280E+001, +0.00000000000E+000
+5.25093437500E+008, -2.64070131848E+001, +0.00000000000E+000
+5.30093375000E+008, -1.33713773192E+002, +0.00000000000E+000
+5.35093312500E+008, +1.13646203632E+002, +0.00000000000E+000
+5.40093250000E+008, +4.27071375457E+000, +0.00000000000E+000
